pn,qty,description
CONN15842,7,CAPOT SD9 DR METALL.+VIS VERR
CONN15844,30,CAPOT SD15 DR METALL.+VIS VERR
CONN15847,74,HE10 2X20 PAS:2mm + DETROMPEUR
CONN15848,0,HE10 2X5F P:2mm AUTO+DETROMP
CONN15849,37,HE10 2X8F P:2mm AUTO+DETROMP
CONN15851,0,FEMALE 3 PTS FRB CONNECTOR
CONN15852,56,HE10 2X7F P:2mm AUTO+DETROMP
CONN15853,80,HE10 2X17F P:2mm AUTO+DETROMP
CONN15862,0,EMBASE MALE USB TYPE A SOUDER
COUR14016,4,BELT TRW TRANSMISSION
COUR15442,0,NFO CANOPY ROTATION BELT
COUR15463,5,ALIGNER TRANSMISSION BELT
CPU-PENTUM-M,0,PENTIUM M 1.8G 400F
CPUAH0027,0,CPU BOARD
CPUAH0400,0,CPU BOARD
CPUAH0480,5,CPU BOARD
CPUAH1100,4,ELECTRONIC BOARD
CPUBH0400,0,CPU BOARD 16BITS EPROM
CPUCH0027,5,CPU BOARD SX 16 BITS
CPUCH1500,2,CPU BOARD
CR2025,0,LP;MONO/FFU 3V BATTERY
CTRA00060,0,PC Upgrade WIN2000
CTRA00061,0,PC Upgrade WINXP + SDD
CTRA00062,0,PC Rebuild WIN2000
CTRA00063,0,PC Rebuild WINXP + SDD
CTSSD & MQDC,78,COILED TUBE + MALE QUICK DSCNT
CTSSD & QDC,0,COILED TUBE + QUICK DSCNT
CTSSD14T,25,COILED TUBE ESD SAFE
CTSSD14TM,0,2M COILED VACUUM TUBE + QDC-M
CZ0239,0,READING HEAD TUNING TOOL TOOL
DIOD14933,0,FREE WHEEL DIOD
DISAH0105,1,PC SIGNAL DISTRIBUTION BOARD
DISAH0134,3,U/D TRANSFER DISTRIB. BOARD
DISAH0140,2,SIGNAL DISTRIBUTION BOARD
DISAH0316,3,DISTRIBUTION BOARD
DISAH0328,2,Z AXIS DISTRIBUTION BOARD
DISAH0472,0,SPP/SIS DISTRIBUTION BOARD
DISAH0482,0,MATROX PC DISTRIBUTION BOARD
DISAH0501,0,DISTRIBUTION BOARD
DISAH0571,0,SORTER DISTRIBUTION BOARD
DISBH0571,1,SORTER DISTRIBUTION BOARD
DISCH0214,6,FOUP OPENER DISTRIBUTION BOARD
DISCH0472,2,300MM ROBOT DISTRIBUTION BOARD
DISDH0132,7,Z AXIS DISTRIBUTION BOARD
DISEH0075,1,CARTE FOND PANIER PC INDUS
DISEH0214,9,DISTRIBUTION BOARD
DISJ14654,0,SECONDARY DISCONNECT DEVICE
DOU000045,50,FEMALE 3 PTS FRB CONNECTOR
